Trade No,Cumulative PnL INR
1068,555334.5
1069,550671.0
1070,544945.5
1071,538530.0
1072,534396.0
1073,535485.0
1074,530622.0
1075,542434.5
1076,546076.5
1077,546097.5
1078,542721.0
1079,551776.5
1080,545100.0
1081,580561.5
1082,575736.0
1083,568414.5
1084,571251.0
1085,565495.5
1086,556854.0
1087,553552.5
1088,549537.0
1089,553212.0
1090,560616.0
1091,573838.5
1092,570340.5
1093,571551.0
1094,568186.5
1095,558574.5
1096,551493.0
1097,543595.5
1098,538698.0
1099,523165.5
1100,522735.0
1101,518268.0
1102,515311.5
1103,507331.5
1104,508386.0
1105,500169.0
1106,493273.5
1107,503332.5
1108,504054.0
1109,512161.5
1110,512659.5
1111,509913.0
1112,502537.5
1113,510507.0
1114,518206.5
1115,520624.5
1116,548445.0
1117,546988.5
1118,544684.5
1119,542536.5
1120,541815.0
1121,547294.5
1122,557329.5
1123,553677.0
1124,558103.5
1125,553570.5
1126,552211.5
1127,554148.0
1128,554013.0
1129,555888.0
1130,560917.5
1131,557415.0
1132,559123.5
1133,555562.5
1134,562071.0
1135,557160.0
1136,552399.0
1137,567307.5
1138,563835.0
1139,560787.0
1140,562096.5
1141,556515.0
1142,548308.5
1143,556692.0
1144,581991.0
1145,576765.0
1146,574935.0
1147,571866.0
1148,567586.5
1149,565701.0
1150,572965.5
1151,571153.5
1152,568209.0
1153,577171.5
1154,572886.0
1155,576802.5
1156,588153.0
1157,584647.5
1158,585037.5
1159,582298.5
1160,584563.5
1161,589461.0
1162,589161.0
1163,580497.0
1164,579553.5
1165,579673.5
1166,586170.0
1167,582948.0
1168,578712.0
1169,579396.0
1170,572266.5
1171,571747.5
1172,577489.5
1173,577578.0
1174,576838.5
1175,573361.5
1176,570486.0
1177,569293.5
1178,568138.5
1179,573414.0
1180,573145.5
1181,592207.5
1182,595431.0
1183,589843.5
1184,599940.0
1185,606784.5
1186,612534.0
1187,608644.5
1188,609208.5
1189,610086.0
1190,607510.5
1191,607174.5
1192,601470.0
1193,604203.0
1194,599368.5
1195,601017.0
1196,597885.0
1197,595479.0
1198,598218.0
1199,598069.5
1200,595170.0
1201,590199.0
1202,590989.5
1203,589611.0
1204,586059.0
1205,584365.5
1206,584631.0
1207,579064.5
1208,576613.5
1209,578551.5
1210,577930.5
1211,575160.0
1212,589176.0
1213,585981.0
1214,587025.0
1215,583146.0
1216,579591.0
1217,573058.5
1218,601833.0
1219,597073.5
1220,607275.0
1221,596173.5
1222,588541.5
1223,583287.0
1224,583387.5
1225,579088.5
1226,578227.5
1227,590832.0
1228,608179.5
1229,598630.5
1230,606237.0
1231,608566.5
1232,605931.0
1233,610731.0
1234,603477.0
1235,598312.5
1236,592116.0
1237,588604.5
1238,588978.0
1239,594510.0
1240,598063.5
1241,602143.5
1242,597657.0
1243,593035.5
1244,600162.0
1245,592975.5
1246,597535.5
1247,597774.0
1248,594054.0
1249,608632.5
1250,604939.5
1251,607902.0
1252,617329.5
1253,619720.5
1254,617790.0
1255,617091.0
1256,614761.5
1257,610570.5
1258,612678.0
1259,617739.0
1260,612309.0
1261,623275.5
1262,615604.5
1263,615762.0
1264,616248.0
1265,621781.5
1266,620137.5
1267,620857.5
1268,677706.0
1269,679425.0
1270,699420.0
1271,712798.5
1272,733015.5
1273,729300.0
1274,724714.5
1275,723004.5
1276,722191.5
1277,714046.5
1278,710344.5
1279,713175.0
1280,710367.0
1281,705022.5
1282,704121.0
1283,721482.0
1284,717426.0
1285,709993.5
1286,705865.5
1287,700357.5
1288,700594.5
1289,711702.0
1290,712849.5
1291,711561.0
1292,707103.0
1293,716037.0
1294,716041.5
1295,710764.5
1296,708763.5
1297,709731.0
1298,713019.0
1299,710892.0
1300,731323.5
1301,734757.0
1302,731361.0
1303,726922.5
1304,728757.0
1305,730623.0
1306,737173.5
1307,734455.5
1308,728472.0
1309,751614.0
1310,749187.0
1311,747535.5
1312,748285.5
1313,744948.0
1314,744937.5
1315,752496.0
1316,753375.0
1317,749976.0
1318,751902.0
1319,749526.0
1320,745957.5
1321,784212.0
1322,777802.5
1323,771909.0
1324,766653.0
1325,770494.5
1326,769552.5
1327,766171.5
1328,770074.5
1329,768456.0
1330,768759.0
1331,782358.0
1332,778078.5
1333,788932.5
1334,780822.0
1335,777202.5
1336,763078.5
1337,763473.0
1338,769602.0
1339,762151.5
1340,753609.0
1341,757594.5
1342,778029.0
1343,792732.0
1344,788074.5
1345,780615.0
1346,788917.5
1347,797632.5
1348,792406.5
1349,816702.0
1350,812725.5
1351,798538.5
1352,785499.0
1353,772413.0
1354,790854.0
1355,805746.0
1356,799692.0
1357,796597.5
1358,786589.5
1359,791328.0
1360,795448.5
1361,795541.5
1362,795403.5
1363,785937.0
1364,788083.5
1365,783081.0
1366,791254.5
1367,790629.0
1368,790056.0
1369,805798.5
1370,802014.0
1371,811110.0
1372,870327.0
1373,834772.5
1374,842515.5
1375,845461.5
1376,833565.0
1377,832767.0
1378,824803.5
1379,819388.5
1380,825369.0
1381,822696.0
1382,810294.0
1383,820450.5
1384,813610.5
1385,823054.5
1386,808366.5
1387,796753.5
1388,786312.0
1389,795805.5
1390,793111.5
1391,789663.0
1392,803217.0
1393,806637.0
1394,801243.0
1395,800307.0
1396,802384.5
1397,798222.0
1398,800430.0
1399,796485.0
1400,820309.5
1401,815997.0
1402,811111.5
1403,803475.0
1404,794220.0
1405,797043.0
1406,812440.5
1407,802914.0
1408,798402.0
1409,792349.5
1410,793324.5
1411,790443.0
1412,793693.5
1413,799591.5
1414,811210.5
1415,806233.5
1416,810484.5
1417,808504.5
1418,809112.0
1419,818494.5
1420,813955.5
1421,807621.0
1422,816129.0
1423,810868.5
1424,803662.5
1425,798705.0
1426,805690.5
1427,803263.5
1428,800317.5
1429,802567.5
1430,814803.0
1431,811842.0
1432,819243.0
1433,820620.0
1434,815286.0
1435,812094.0
1436,807718.5
1437,810486.0
1438,805731.0
1439,798069.0
1440,795126.0
1441,790726.5
1442,790890.0
1443,801334.5
1444,798417.0
1445,799482.0
1446,794260.5
1447,790687.5
1448,810942.0
1449,807541.5
1450,809824.5
1451,807799.5
1452,805522.5
1453,799849.5
1454,800824.5
1455,799530.0
1456,796015.5
1457,799803.0
1458,809229.0
1459,813283.5
1460,808948.5
1461,804729.0
1462,800161.5
1463,798129.0
1464,799087.5
1465,803527.5
1466,791644.5
1467,790240.5
1468,780742.5
1469,780475.5
1470,765381.0
1471,756010.5
1472,784444.5
1473,782131.5
1474,777658.5
1475,777901.5
1476,774979.5
1477,781630.5
1478,781317.0
1479,779086.5
1480,770305.5
1481,766417.5
1482,761550.0
1483,775324.5
1484,768916.5
1485,769615.5
1486,781443.0
1487,789469.5
1488,786304.5
1489,784623.0
1490,783699.0
1491,788679.0
1492,787927.5
1493,782869.5
1494,776577.0
1495,793314.0
1496,811753.5
1497,805963.5
1498,814807.5
1499,811897.5
1500,806166.0
1501,799578.0
1502,798637.5
1503,793063.5
1504,791173.5
1505,792280.5
1506,787264.5
1507,793857.0
1508,785119.5
1509,794074.5
1510,809701.5
1511,826885.5
1512,824955.0
1513,830316.0
1514,813345.0
1515,814560.0
1516,811356.0
1517,804715.5
1518,795895.5
1519,800235.0
1520,792576.0
1521,803679.0
1522,809863.5
1523,837834.0
1524,812205.0
1525,822430.5
1526,779542.5
1527,847954.5
1528,892090.5
1529,1013935.5
1530,1001998.5
1531,990541.5
1532,987066.0
1533,1061254.5
1534,1032982.5
1535,1022317.5
1536,1015980.0
1537,997246.5
1538,1064902.5
1539,1029975.0
1540,1010385.0
1541,1005669.0
1542,969775.5
1543,974031.0
1544,971973.0
1545,995721.0
1546,1006638.0
1547,986862.0
1548,980577.0
1549,965634.0
1550,952996.5
1551,934045.5
1552,926719.5
1553,920592.0
1554,907749.0
1555,890199.0
1556,885724.5
1557,901770.0
1558,918141.0
1559,907486.5
1560,919461.0
1561,949995.0
1562,941296.5
1563,934282.5
1564,929311.5
1565,920553.0
1566,932958.0
1567,923166.0
1568,904399.5
1569,898132.5
1570,889825.5
1571,879711.0
1572,909987.0
1573,890097.0
1574,893568.0
1575,940689.0
1576,929314.5
1577,927876.0
1578,921364.5
1579,928597.5
1580,928420.5
1581,916216.5
1582,910647.0
1583,910605.0
1584,900475.5
1585,919653.0
1586,945592.5
1587,938799.0
1588,923188.5
