Type,Entry Time,Exit Time,Entry Price,Exit Price,Points,PnL INR,Cumulative PnL INR
LONG,2021-07-28 12:10:00+05:30,2021-07-28 14:20:00+05:30,15632.25,15647.05,14.8,962.0,1200641.0
SHORT,2021-07-28 14:20:00+05:30,2021-07-28 15:05:00+05:30,15647.05,15716.6,-69.55,-4520.75,1196120.25
LONG,2021-07-28 15:05:00+05:30,2021-07-30 14:45:00+05:30,15716.6,15798.3,81.7,5310.5,1201430.75
SHORT,2021-07-30 14:45:00+05:30,2021-08-02 09:15:00+05:30,15798.3,15862.0,-63.7,-4140.5,1197290.25
LONG,2021-08-02 09:15:00+05:30,2021-08-02 14:35:00+05:30,15862.0,15847.95,-14.05,-913.25,1196377.0
SHORT,2021-08-02 14:35:00+05:30,2021-08-02 15:00:00+05:30,15847.95,15884.9,-36.95,-2401.75,1193975.25
LONG,2021-08-02 15:00:00+05:30,2021-08-04 11:45:00+05:30,15884.9,16217.1,332.2,21593.0,1215568.25
SHORT,2021-08-04 11:45:00+05:30,2021-08-04 14:20:00+05:30,16217.1,16282.85,-65.75,-4273.75,1211294.5
LONG,2021-08-04 14:20:00+05:30,2021-08-05 09:30:00+05:30,16282.85,16216.3,-66.55,-4325.75,1206968.75
SHORT,2021-08-05 09:30:00+05:30,2021-08-05 12:40:00+05:30,16216.3,16290.35,-74.05,-4813.25,1202155.5
LONG,2021-08-05 12:40:00+05:30,2021-08-05 15:10:00+05:30,16290.35,16284.35,-6.0,-390.0,1201765.5
SHORT,2021-08-05 15:10:00+05:30,2021-08-09 09:15:00+05:30,16284.35,16296.6,-12.25,-796.25,1200969.25
LONG,2021-08-09 09:15:00+05:30,2021-08-09 11:55:00+05:30,16296.6,16253.55,-43.05,-2798.25,1198171.0
SHORT,2021-08-09 11:55:00+05:30,2021-08-09 15:00:00+05:30,16253.55,16253.9,-0.35,-22.75,1198148.25
LONG,2021-08-09 15:00:00+05:30,2021-08-10 13:50:00+05:30,16253.9,16290.6,36.7,2385.5,1200533.75
SHORT,2021-08-10 13:50:00+05:30,2021-08-11 09:15:00+05:30,16290.6,16322.05,-31.45,-2044.25,1198489.5
LONG,2021-08-11 09:15:00+05:30,2021-08-11 09:50:00+05:30,16322.05,16230.15,-91.9,-5973.5,1192516.0
SHORT,2021-08-11 09:50:00+05:30,2021-08-11 13:20:00+05:30,16230.15,16256.1,-25.95,-1686.75,1190829.25
LONG,2021-08-11 13:20:00+05:30,2021-08-17 09:55:00+05:30,16256.1,16538.45,282.35,18352.75,1209182.0
SHORT,2021-08-17 09:55:00+05:30,2021-08-17 13:40:00+05:30,16538.45,16565.7,-27.25,-1771.25,1207410.75
LONG,2021-08-17 13:40:00+05:30,2021-08-18 12:05:00+05:30,16565.7,16640.7,75.0,4875.0,1212285.75
SHORT,2021-08-18 12:05:00+05:30,2021-08-20 14:15:00+05:30,16640.7,16499.05,141.65,9207.25,1221493.0
LONG,2021-08-20 14:15:00+05:30,2021-08-20 15:20:00+05:30,16499.05,16418.25,-80.8,-5252.0,1216241.0
SHORT,2021-08-20 15:20:00+05:30,2021-08-23 09:15:00+05:30,16418.25,16559.65,-141.4,-9191.0,1207050.0
LONG,2021-08-23 09:15:00+05:30,2021-08-23 10:30:00+05:30,16559.65,16425.85,-133.8,-8697.0,1198353.0
SHORT,2021-08-23 10:30:00+05:30,2021-08-24 09:25:00+05:30,16425.85,16539.5,-113.65,-7387.25,1190965.75
LONG,2021-08-24 09:25:00+05:30,2021-08-25 11:40:00+05:30,16539.5,16646.05,106.55,6925.75,1197891.5
SHORT,2021-08-25 11:40:00+05:30,2021-08-27 10:30:00+05:30,16646.05,16662.25,-16.2,-1053.0,1196838.5
LONG,2021-08-27 10:30:00+05:30,2021-08-31 13:15:00+05:30,16662.25,16991.45,329.2,21398.0,1218236.5
SHORT,2021-08-31 13:15:00+05:30,2021-08-31 14:30:00+05:30,16991.45,17069.75,-78.3,-5089.5,1213147.0
LONG,2021-08-31 14:30:00+05:30,2021-09-01 10:55:00+05:30,17069.75,17130.45,60.7,3945.5,1217092.5
SHORT,2021-09-01 10:55:00+05:30,2021-09-02 09:25:00+05:30,17130.45,17127.55,2.9,188.5,1217281.0
LONG,2021-09-02 09:25:00+05:30,2021-09-03 11:25:00+05:30,17127.55,17228.55,101.0,6565.0,1223846.0
SHORT,2021-09-03 11:25:00+05:30,2021-09-03 13:10:00+05:30,17228.55,17294.6,-66.05,-4293.25,1219552.75
LONG,2021-09-03 13:10:00+05:30,2021-09-03 14:00:00+05:30,17294.6,17242.4,-52.2,-3393.0,1216159.75
SHORT,2021-09-03 14:00:00+05:30,2021-09-03 15:00:00+05:30,17242.4,17319.65,-77.25,-5021.25,1211138.5
LONG,2021-09-03 15:00:00+05:30,2021-09-07 10:00:00+05:30,17319.65,17325.8,6.15,399.75,1211538.25
SHORT,2021-09-07 10:00:00+05:30,2021-09-07 12:10:00+05:30,17325.8,17384.25,-58.45,-3799.25,1207739.0
LONG,2021-09-07 12:10:00+05:30,2021-09-07 14:40:00+05:30,17384.25,17357.5,-26.75,-1738.75,1206000.25
SHORT,2021-09-07 14:40:00+05:30,2021-09-08 15:00:00+05:30,17357.5,17339.4,18.1,1176.5,1207176.75
LONG,2021-09-08 15:00:00+05:30,2021-09-09 09:30:00+05:30,17339.4,17316.25,-23.15,-1504.75,1205672.0
SHORT,2021-09-09 09:30:00+05:30,2021-09-09 15:00:00+05:30,17316.25,17367.15,-50.9,-3308.5,1202363.5
LONG,2021-09-09 15:00:00+05:30,2021-09-13 09:25:00+05:30,17367.15,17309.8,-57.35,-3727.75,1198635.75
SHORT,2021-09-13 09:25:00+05:30,2021-09-13 12:50:00+05:30,17309.8,17367.2,-57.4,-3731.0,1194904.75
LONG,2021-09-13 12:50:00+05:30,2021-09-14 13:00:00+05:30,17367.2,17374.65,7.45,484.25,1195389.0
SHORT,2021-09-14 13:00:00+05:30,2021-09-15 09:15:00+05:30,17374.65,17410.25,-35.6,-2314.0,1193075.0
LONG,2021-09-15 09:15:00+05:30,2021-09-17 11:25:00+05:30,17410.25,17714.75,304.5,19792.5,1212867.5
SHORT,2021-09-17 11:25:00+05:30,2021-09-21 12:50:00+05:30,17714.75,17439.7,275.05,17878.25,1230745.75
LONG,2021-09-21 12:50:00+05:30,2021-09-22 11:30:00+05:30,17439.7,17531.7,92.0,5980.0,1236725.75
SHORT,2021-09-22 11:30:00+05:30,2021-09-23 09:15:00+05:30,17531.7,17657.75,-126.05,-8193.25,1228532.5
LONG,2021-09-23 09:15:00+05:30,2021-09-24 13:25:00+05:30,17657.75,17830.55,172.8,11232.0,1239764.5
SHORT,2021-09-24 13:25:00+05:30,2021-09-27 09:15:00+05:30,17830.55,17910.15,-79.6,-5174.0,1234590.5
LONG,2021-09-27 09:15:00+05:30,2021-09-27 10:40:00+05:30,17910.15,17836.05,-74.1,-4816.5,1229774.0
SHORT,2021-09-27 10:40:00+05:30,2021-09-27 12:50:00+05:30,17836.05,17882.75,-46.7,-3035.5,1226738.5
LONG,2021-09-27 12:50:00+05:30,2021-09-27 14:25:00+05:30,17882.75,17848.75,-34.0,-2210.0,1224528.5
SHORT,2021-09-27 14:25:00+05:30,2021-09-28 14:50:00+05:30,17848.75,17692.75,156.0,10140.0,1234668.5
LONG,2021-09-28 14:50:00+05:30,2021-09-29 09:15:00+05:30,17692.75,17643.7,-49.05,-3188.25,1231480.25
SHORT,2021-09-29 09:15:00+05:30,2021-09-29 13:20:00+05:30,17643.7,17708.3,-64.6,-4199.0,1227281.25
LONG,2021-09-29 13:20:00+05:30,2021-09-29 15:10:00+05:30,17708.3,17700.95,-7.35,-477.75,1226803.5
SHORT,2021-09-29 15:10:00+05:30,2021-10-01 15:00:00+05:30,17700.95,17553.95,147.0,9555.0,1236358.5
LONG,2021-10-01 15:00:00+05:30,2021-10-04 12:15:00+05:30,17553.95,17676.7,122.75,7978.75,1244337.25
SHORT,2021-10-04 12:15:00+05:30,2021-10-04 13:50:00+05:30,17676.7,17710.95,-34.25,-2226.25,1242111.0
LONG,2021-10-04 13:50:00+05:30,2021-10-05 09:55:00+05:30,17710.95,17659.6,-51.35,-3337.75,1238773.25
SHORT,2021-10-05 09:55:00+05:30,2021-10-05 12:40:00+05:30,17659.6,17731.65,-72.05,-4683.25,1234090.0
LONG,2021-10-05 12:40:00+05:30,2021-10-06 10:15:00+05:30,17731.65,17793.8,62.15,4039.75,1238129.75
SHORT,2021-10-06 10:15:00+05:30,2021-10-06 12:20:00+05:30,17793.8,17873.3,-79.5,-5167.5,1232962.25
LONG,2021-10-06 12:20:00+05:30,2021-10-06 13:00:00+05:30,17873.3,17804.85,-68.45,-4449.25,1228513.0
SHORT,2021-10-06 13:00:00+05:30,2021-10-07 09:15:00+05:30,17804.85,17790.2,14.65,952.25,1229465.25
LONG,2021-10-07 09:15:00+05:30,2021-10-07 15:00:00+05:30,17790.2,17791.0,0.8,52.0,1229517.25
SHORT,2021-10-07 15:00:00+05:30,2021-10-08 09:15:00+05:30,17791.0,17865.6,-74.6,-4849.0,1224668.25
LONG,2021-10-08 09:15:00+05:30,2021-10-11 14:40:00+05:30,17865.6,17982.75,117.15,7614.75,1232283.0
SHORT,2021-10-11 14:40:00+05:30,2021-10-12 14:05:00+05:30,17982.75,17956.65,26.1,1696.5,1233979.5
LONG,2021-10-12 14:05:00+05:30,2021-10-14 13:25:00+05:30,17956.65,18261.95,305.3,19844.5,1253824.0
SHORT,2021-10-14 13:25:00+05:30,2021-10-14 14:00:00+05:30,18261.95,18316.2,-54.25,-3526.25,1250297.75
LONG,2021-10-14 14:00:00+05:30,2021-10-18 13:15:00+05:30,18316.2,18475.85,159.65,10377.25,1260675.0
SHORT,2021-10-18 13:15:00+05:30,2021-10-19 09:15:00+05:30,18475.85,18567.55,-91.7,-5960.5,1254714.5
LONG,2021-10-19 09:15:00+05:30,2021-10-19 10:05:00+05:30,18567.55,18407.65,-159.9,-10393.5,1244321.0
SHORT,2021-10-19 10:05:00+05:30,2021-10-19 12:05:00+05:30,18407.65,18581.1,-173.45,-11274.25,1233046.75
LONG,2021-10-19 12:05:00+05:30,2021-10-19 14:10:00+05:30,18581.1,18514.4,-66.7,-4335.5,1228711.25
SHORT,2021-10-19 14:10:00+05:30,2021-10-21 09:15:00+05:30,18514.4,18335.45,178.95,11631.75,1240343.0
LONG,2021-10-21 09:15:00+05:30,2021-10-21 10:15:00+05:30,18335.45,18229.5,-105.95,-6886.75,1233456.25
SHORT,2021-10-21 10:15:00+05:30,2021-10-21 14:55:00+05:30,18229.5,18174.8,54.7,3555.5,1237011.75
LONG,2021-10-21 14:55:00+05:30,2021-10-22 11:30:00+05:30,18174.8,18169.0,-5.8,-377.0,1236634.75
SHORT,2021-10-22 11:30:00+05:30,2021-10-25 11:20:00+05:30,18169.0,18173.8,-4.8,-312.0,1236322.75
LONG,2021-10-25 11:20:00+05:30,2021-10-26 10:45:00+05:30,18173.8,18132.55,-41.25,-2681.25,1233641.5
SHORT,2021-10-26 10:45:00+05:30,2021-10-26 13:40:00+05:30,18132.55,18230.95,-98.4,-6396.0,1227245.5
